category,skill_name,aliases
Programming,Python,"py,python3"
Programming,Java,"java8,java11,java17"
Programming,JavaScript,"js,es6,ecmascript"
Programming,TypeScript,"ts"
Programming,C++,"cpp,c plus plus"
Programming,C#,"csharp,c sharp"
Programming,Go,"golang"
Programming,Rust,"rustlang"
Programming,Ruby,"rb"
Programming,PHP,"php7,php8"
Programming,Kotlin,"kt"
Programming,Swift,"apple swift"
Programming,Scala,"scala py"
Programming,R,"r language"
Programming,MATLAB,"matlab"
Programming,Dart,"dartlang"
Programming,Elixir,"elixirlang"
Programming,Haskell,"hs"
Programming,Lua,"lua"
Frontend,React,"react.js,reactjs"
Frontend,Angular,"angularjs,angular2+"
Frontend,Vue.js,"vue,vuejs"
Frontend,Next.js,"nextjs,next"
Frontend,Nuxt.js,"nuxt"
Frontend,Svelte,"sveltekit"
Frontend,Redux,"redux toolkit,rtk"
Frontend,Zustand,"zustand state"
Frontend,HTML,"html5"
Frontend,CSS,"css3"
Frontend,Tailwind CSS,"tailwind,tailwindcss"
Frontend,Sass,"scss"
Frontend,Bootstrap,"bootstrap css"
Frontend,Webpack,"webpack bundler"
Frontend,Vite,"vitejs"
Frontend,REST API,"rest,restful api,restful"
Frontend,GraphQL,"gql"
Frontend,WebSockets,"socket,ws"
Frontend,Three.js,"webgl,threejs"
Backend,Node.js,"node,nodejs"
Backend,Express,"expressjs,express.js"
Backend,Spring Boot,"spring,springboot"
Backend,Django,"django framework"
Backend,Flask,"flask py"
Backend,FastAPI,"fast api"
Backend,NestJS,"nest"
Backend,ASP.NET,"aspnet,.net core"
Backend,Ruby on Rails,"rails"
Backend,Laravel,"laravel php"
Backend,Microservices,"microservices"
Backend,gRPC,"grpc api"
Backend,RabbitMQ,"rabbitmq"
Backend,Kafka,"apache kafka"
Backend,Celery,"celery py"
Databases,MongoDB,"mongo,documentdb"
Databases,PostgreSQL,"postgres,postgresql"
Databases,MySQL,"my sql"
Databases,Redis,"redis cache"
Databases,Elasticsearch,"elastic"
Databases,SQLite,"sqlite3"
Databases,Oracle,"oracle db"
Databases,Cassandra,"apache cassandra"
Databases,DynamoDB,"aws dynamodb"
Databases,Firebase,"firestore"
Databases,Supabase,"supabase pg"
Databases,SQL,"relational sql"
Databases,NoSQL,"non relational"
Databases,Snowflake,"snowflake data"
Databases,BigQuery,"google bigquery"
Cloud & DevOps,AWS,"amazon web services"
Cloud & DevOps,GCP,"google cloud platform"
Cloud & DevOps,Azure,"microsoft azure"
Cloud & DevOps,Docker,"docker container"
Cloud & DevOps,Kubernetes,"k8s,kube"
Cloud & DevOps,Terraform,"tf,hashicorp"
Cloud & DevOps,Ansible,"ansible automation"
Cloud & DevOps,Jenkins,"jenkins ci"
Cloud & DevOps,CI/CD,"github actions,gitlab ci"
Cloud & DevOps,Linux,"ubuntu,debian"
Cloud & DevOps,NGINX,"nginx web server"
Cloud & DevOps,Cloudflare,"cloudflare cdn"
Cloud & DevOps,Helm,"helm charts"
Cloud & DevOps,Prometheus,"prometheus metrics"
Cloud & DevOps,Grafana,"grafana dashboard"
AI & Data Science,Machine Learning,"ml,scikit-learn"
AI & Data Science,Deep Learning,"dl,neural networks"
AI & Data Science,NLP,"natural language processing"
AI & Data Science,PyTorch,"torch"
AI & Data Science,TensorFlow,"tf,keras"
AI & Data Science,Pandas,"data manipulation"
AI & Data Science,NumPy,"numerical python"
AI & Data Science,SciPy,"scipy"
AI & Data Science,OpenCV,"computer vision"
AI & Data Science,LLM,"large language models,generative ai"
AI & Data Science,RAG,"retrieval augmented generation"
AI & Data Science,Sentence Transformers,"all-minilm"
AI & Data Science,LangChain,"langchain ai"
AI & Data Science,LlamaIndex,"llamaindex"
AI & Data Science,SpaCy,"spacy nlp"
AI & Data Science,NLTK,"nltk"
AI & Data Science,Hugging Face,"hf transformers"
AI & Data Science,Apache Spark,"pyspark"
AI & Data Science,Databricks,"databricks spark"
Mobile Development,React Native,"react-native"
Mobile Development,Flutter,"flutter dart"
Mobile Development,iOS,"ios swift"
Mobile Development,Android,"android kotlin"
Mobile Development,MAUI,"dotnet maui"
Mobile Development,Ionic,"ionic app"
Testing & QA,Git,"github,gitlab"
Testing & QA,Jira,"atlassian jira"
Testing & QA,Jest,"jest js"
Testing & QA,Cypress,"cypress test"
Testing & QA,Selenium,"selenium web"
Testing & QA,Postman,"postman api"
Testing & QA,Swagger,"openapi"
Testing & QA,JUnit,"junit java"
Testing & QA,PyTest,"pytest"
Testing & QA,Mocha,"mocha js"
Testing & QA,Playwright,"playwright test"
Testing & QA,Vitest,"vitest"
Security & Networking,Cybersecurity,"infosec"
Security & Networking,Penetration Testing,"pen testing"
Security & Networking,OWASP,"owasp top 10"
Security & Networking,OAuth,"oauth2"
Security & Networking,JWT,"json web tokens"
Security & Networking,SSL/TLS,"https certificates"
Security & Networking,Wireshark,"packet capture"
Security & Networking,IAM,"aws iam"
Architecture & Methodologies,System Design,"high availability"
Architecture & Methodologies,Agile,"scrum,kanban"
Architecture & Methodologies,Clean Code,"design patterns"
Architecture & Methodologies,TDD,"test driven development"
